"","logFC","logCPM","PValue","FDR"
"ENSMUSG00000003469",6.49179625756233,4.04920942905465,6.39376219396018e-171,8.20898172731212e-169
"ENSMUSG00000074272",4.92342968604618,5.11844136204211,1.48016871855182e-169,1.88246740516954e-167
"ENSMUSG00000027456",5.86293593491675,4.26913863684256,3.15443874434066e-167,3.97429801050995e-165
"ENSMUSG00000098678",5.91605709728043,4.16752986850548,9.55945110179064e-167,1.1932496324374e-164
"ENSMUSG00000026639",4.24730758837866,4.83734708685015,8.52678485492415e-166,1.05458336357094e-163
"ENSMUSG00000026380",4.87874378813768,4.5456276616224,4.28546878931835e-165,5.25203679534551e-163
"ENSMUSG00000029032",8.13640946204645,4.0759247267261,1.08227097003164e-164,1.31442296819789e-162
"ENSMUSG00000028544",7.79073624492018,3.72994455730853,1.9475220420521e-164,2.34415577222361e-162
"ENSMUSG00000054065",8.00877744259459,3.9503905667742,6.05655961523881e-163,7.2255292188526e-161
"ENSMUSG00000022102",5.58769547085144,4.34450982944575,9.29879387536913e-163,1.09962315994606e-160
"ENSMUSG00000042377",4.3325212992169,4.54075529852237,1.1754176122852e-161,1.37789607227972e-159
"ENSMUSG00000021118",5.24638867528599,4.72428527840901,3.48887442290085e-161,4.05461345647641e-159
"ENSMUSG00000050296",6.62807422368547,4.2614223014174,9.97052760679912e-161,1.14882634758341e-158
"ENSMUSG00000001420",6.09184012699687,3.82127741950039,8.63472730251748e-160,9.8648100648507e-158
"ENSMUSG00000027547",12.0129898444761,4.08131872355481,6.40475280160669e-158,7.25566995953444e-156
"ENSMUSG00000043439",5.15905337949716,5.44576097238653,2.87287748651442e-157,3.22743844964174e-155
"ENSMUSG00000030310",10.9649346263512,4.92216408066592,5.82935080992343e-157,6.49466762550229e-155
"ENSMUSG00000025494",7.71045398724541,4.45161163094238,4.61390128957303e-156,5.0983609249782e-154
"ENSMUSG00000021638",8.74362277508664,4.00419991233178,1.07625911345447e-155,1.17959748849429e-153
"ENSMUSG00000040907",10.6573925871838,4.61646779241861,1.74085937462334e-155,1.89262300236268e-153
"ENSMUSG00000022123",4.72744126738849,5.23503511030742,4.26970804341838e-154,4.60479473066585e-152
"ENSMUSG00000041607",4.99231651741349,4.86594121085341,6.9334087337575e-154,7.4181970745861e-152
"ENSMUSG00000024011",5.18017803797486,4.68569963189892,9.31407259454007e-154,9.88685138952714e-152
"ENSMUSG00000018920",3.68597696347785,4.58499360314263,4.49333958200253e-153,4.73239928945126e-151
"ENSMUSG00000001021",5.74061264570581,3.76162896440894,5.24861765000102e-151,5.48500887904371e-149
"ENSMUSG00000018569",7.99789936838611,4.18475437128834,5.47285560839321e-149,5.67535126590376e-147
"ENSMUSG00000046410",4.24634545441225,4.85816215957768,2.90509996662578e-148,2.98959180534978e-146
"ENSMUSG00000074227",3.88590109244509,5.63449975458287,3.14588564786402e-148,3.21285488021628e-146
"ENSMUSG00000031297",3.89201784363553,5.72713547877897,3.17618520875672e-148,3.21940998490597e-146
"ENSMUSG00000024331",5.53435113301413,5.59145099948587,9.86239541999003e-148,9.92201139230489e-146
"ENSMUSG00000020435",4.61856804014354,4.6419622643356,3.30804655272295e-147,3.3033907835006e-145
"ENSMUSG00000003309",10.2752790375228,4.2351735302481,7.61034701310734e-147,7.54375647674265e-145
"ENSMUSG00000026205",5.34258740397423,3.55536779124785,3.92261162542364e-143,3.85990710382015e-141
"ENSMUSG00000026479",3.24689710537161,5.45074615347479,4.32376871928033e-143,4.2238207322187e-141
"ENSMUSG00000003526",4.90995397023563,4.51342808925945,3.19122786836436e-142,3.09503186283597e-140
"ENSMUSG00000023043",6.12598511768071,4.83655315553181,7.47452998955437e-142,7.1974384849416e-140
"ENSMUSG00000049709",7.73081110925762,4.30304954675112,4.97638284838753e-140,4.75791611199378e-138
"ENSMUSG00000005251",8.34447294014006,3.9859629618719,1.46230962859184e-139,1.38826733120047e-137
"ENSMUSG00000018849",3.61654353387154,6.12517658758403,3.05383853671889e-137,2.87893687507044e-135
"ENSMUSG00000034730",7.37041366382422,4.62656257141412,1.97417879579067e-136,1.84818780180931e-134
"ENSMUSG00000084128",4.27927091473796,4.86865402808837,2.63318890718703e-134,2.44813928674403e-132
"ENSMUSG00000027376",9.74252824101825,3.71148848795102,5.04993146574518e-133,4.66288534861033e-131
"ENSMUSG00000029832",4.86528322779033,4.42606037134058,2.05035392647914e-132,1.88032797842621e-130
