Gene stable ID,SRR3414631,SRR3414630,SRR3414636,SRR3414637,SRR3414635,SRR3414629
ENSMUSG00000031028,0.525956680952916,0.3119965503432096,0.059646461390198025,0.04785511202595958,0.040439823828995976,0.28734387402561695
ENSMUSG00000043485,0.0,0.0,0.039965363081297486,0.0,0.0,0.0
ENSMUSG00000045534,0.0,0.0,0.02237836828250212,0.0,0.021674792479175253,0.04400272694421064
ENSMUSG00000040111,0.3524962074261511,0.33239222343411184,0.4628240652099833,0.4470858229659931,0.46926224412634987,0.40480657699633527
ENSMUSG00000046500,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000031380,11.626190999939476,11.031258986290904,26.33755283287757,27.825606628695827,27.859059520878986,14.991175314330206
ENSMUSG00000047388,11.169331466342499,11.556657255955933,5.308003839343399,4.901697090217367,4.7593538682151095,10.747176183778542
ENSMUSG00000027985,0.3606041781648314,0.3352014963350731,0.026325868279703356,0.03630271187135814,0.022310910206642824,0.25235301550719974
ENSMUSG00000055933,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000048981,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000020952,3.75482877195398,4.462966393529059,4.888629255935589,5.393376029823736,4.741466219187306,3.9869828146819497
ENSMUSG00000047976,0.006922434337086938,0.0,0.032343779568698446,0.016218640202281198,0.00783172281926249,0.0
ENSMUSG00000031847,0.7387039768336168,0.8710143444749643,0.3020024134728234,0.2740301740017507,0.30643638549511426,0.6221068372242825
ENSMUSG00000004071,2.6775637094318236,2.747587844595606,3.366566889877411,3.1683641971670955,3.2334926296050486,3.0576388545429816
ENSMUSG00000038077,0.02549535907020379,0.03074509507637236,0.0037225717574416286,0.007466666266740075,0.003605534117269632,0.029278865465989096
ENSMUSG00000020840,11.362474825387231,11.686809846878653,3.6394443980924476,4.469345468271318,3.8127770394371012,8.869496476096888
ENSMUSG00000031284,0.9878221914028119,1.2884333026450088,1.2627754682619496,1.6265470805744322,1.414360238645782,1.2650372679140083
ENSMUSG00000034424,28.943543277124423,28.98912397787678,25.884497286763118,31.292465650658144,26.878507178735575,24.340466627209242
ENSMUSG00000035245,3.6706914320064317,3.780987181541622,3.156190319991298,3.7998703231558095,3.511177779883994,3.688493669389772
ENSMUSG00000024682,0.03587161981744396,0.11535446994295993,0.0419008584137687,0.042021987278030935,0.08116699120801099,0.0
ENSMUSG00000024683,7.328564990286042,7.841426482931109,4.953540553674165,5.63541671943466,4.692849357242284,6.422429926774318
ENSMUSG00000008167,3.247303440900686,2.606835939763068,4.245847659852316,3.7043998015864195,4.3048743474259155,3.300371485285058
ENSMUSG00000021149,11.299357984964402,13.484756668506275,7.096251967768777,8.564916448641045,6.7150874301888,9.106176903830043
ENSMUSG00000025221,0.5692679755993679,0.5455515065188751,0.008807278582603833,0.017665478110139972,0.038386700016939515,0.3853212173834999
ENSMUSG00000036975,2.560840453023205,2.6658317815748904,1.859951371864373,1.6345659501858814,2.1357687473901907,2.5826859605977788
ENSMUSG00000092074,0.12445588304767255,0.09416942971702565,0.051308544134824545,0.04288072429600058,0.08282567287688046,0.18496190993204925
ENSMUSG00000032769,0.01462038812511453,0.02350781942822656,0.0,0.0,0.0,0.0
ENSMUSG00000040957,0.40119564326822543,0.39095404252599036,0.38342282682010453,0.3916521915100056,0.36449082932181226,0.47469460583022577
ENSMUSG00000040987,0.5176974618611774,0.5311473065971244,0.6853392900146074,0.658441486726164,0.7865101161187169,0.4869431930248831
ENSMUSG00000022518,0.015585934479577557,0.012530150712507484,0.02275698857476312,0.022822775489027964,0.03085811253148808,0.053696652500484804
ENSMUSG00000061244,3.572411630243971,4.899414847182039,4.562019864231738,5.595086190402086,4.3222944316725656,3.6222030018687708
ENSMUSG00000000399,22.142326444541116,21.18884566153827,18.203222911488574,17.537818238728587,17.665586057393316,18.600452123185306
ENSMUSG00000096255,1.3595624889556568,1.0354795500362826,0.41791456694672696,0.8382453859116354,0.323820267795929,0.6573984427539772
ENSMUSG00000027575,4.264219551645553,3.5357694169280784,5.587387920492656,5.006153609104131,5.539638607491669,4.502192709370419
ENSMUSG00000028882,13.461251220720273,12.607199359736185,8.89815368434252,10.803242840628329,9.616062226465655,11.981561286607256
ENSMUSG00000095845,0.5044033903164512,0.0,0.7855768301378965,0.0,0.5706587234624576,1.5446846845078113
ENSMUSG00000060038,3.7383672341545244,3.8661292539192216,3.5876687607562436,3.402717973364578,3.395446813762212,3.607850227336248
ENSMUSG00000000579,0.023514300764073088,0.0,0.018311028644712873,0.055091888941082176,0.026602994973367825,0.027003818487212918
ENSMUSG00000020916,0.09881941420863168,0.15888969057047123,0.0,0.0,0.03726657529021659,0.0
ENSMUSG00000039568,5.684805943205639,3.8887137491430814,7.630517992691966,5.257495396944486,7.597476524124289,5.9366717749624325
ENSMUSG00000049411,1.0672795057292095,1.0575697804370565,0.5508524021744299,0.6639029984025574,0.7207383786845087,1.021386316388231
