"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000022012",-0.0960452919573531,0.87314644571274,0.126993792675532,0.721569569977378,0.774172652038602
"ENSMUSG00000034889",-0.0464357997680045,5.39936550346006,0.126897334867586,0.72167093142846,0.774219785658688
"ENSMUSG00000057342",0.0533997393196078,5.02008691015987,0.126724528337789,0.72185263156425,0.774331230504832
"ENSMUSG00000053477",-0.0399931289519418,8.2649442866532,0.126689300491108,0.721889689561956,0.774331230504832
"ENSMUSG00000030685",-0.0730667352510505,2.84110659020326,0.126591959450998,0.72199211783783,0.774379484491351
"ENSMUSG00000041936",-0.0439544140147591,6.77727010649211,0.126519427972852,0.722068468803589,0.774399763559362
"ENSMUSG00000074220",-0.079079381700248,2.14222184218804,0.125789351462253,0.722838367661807,0.775128443605204
"ENSMUSG00000039754",0.065640849255479,2.78720991472178,0.125766124463816,0.722862902826543,0.775128443605204
"ENSMUSG00000070002",0.0470577424457178,5.0991789538793,0.125348592198641,0.723304386606232,0.775540160330757
"ENSMUSG00000043419",-0.0620186756702575,2.23722650961803,0.125048434963111,0.723622273680616,0.77581929946623
"ENSMUSG00000038116",-0.0333275717391786,6.24133145653404,0.124894076068708,0.723785917466317,0.775933038040829
"ENSMUSG00000040269",0.0441733403042708,3.77972419233372,0.123819813775036,0.724927961135289,0.777041803869611
"ENSMUSG00000064354",0.104869326805518,1.22359455143812,0.123812788972298,0.724935447464439,0.777041803869611
"ENSMUSG00000049090",-0.0320086210287098,6.6557313755191,0.123029587864188,0.725771605794787,0.777876213843181
"ENSMUSG00000074576",-0.0601541525708583,2.61293246780522,0.122942145987649,0.725865145478562,0.77791462168666
"ENSMUSG00000007564",0.0383828348560197,7.9841498623757,0.122791050438991,0.726026865838119,0.778026087310308
"ENSMUSG00000029469",-0.0480877743346687,4.50361937935508,0.122708278968994,0.726115505039084,0.778059226089491
"ENSMUSG00000024654",0.0540625922630624,2.97457169738034,0.121429860789151,0.727488834831103,0.779468842978708
"ENSMUSG00000040913",0.0776275174395467,3.70591721015103,0.121033928488462,0.727915805005495,0.779864338176832
"ENSMUSG00000017286",0.0412370363383628,5.73861374542201,0.120166393150839,0.728854092798872,0.780807535364081
"ENSMUSG00000113450",0.082197514426275,1.77383000794502,0.119993255205635,0.729041804926076,0.780946569106748
"ENSMUSG00000022428",0.054067370018729,3.91879452097274,0.119306626986912,0.729787728442642,0.781649557568899
"ENSMUSG00000031231",0.0454757449841498,6.83240948371269,0.119282453547449,0.729814033166659,0.781649557568899
"ENSMUSG00000041429",0.0572222295747665,2.88380431146882,0.119079263274561,0.730035256011573,0.781799586119712
"ENSMUSG00000030083",0.0515009755941051,3.93096538133466,0.119047279135447,0.730070097890443,0.781799586119712
"ENSMUSG00000038738",0.0819803374070695,1.45252305758832,0.118874044690231,0.730258901668755,0.781939654757465
"ENSMUSG00000071669",-0.0759063086353836,2.41787430011991,0.118131336293022,0.731070109883778,0.782746100495847
"ENSMUSG00000002052",0.0305083269148353,7.68548194592618,0.118072221114208,0.731134799620327,0.78275319517802
"ENSMUSG00000049804",0.0441716844903604,5.66389243564014,0.117549791772682,0.731707282689661,0.783303889298763
"ENSMUSG00000027637",-0.0426151456105872,4.47308892195415,0.115812447187724,0.733621371174951,0.785238062452423
"ENSMUSG00000038930",0.0503154274214047,2.8972594445978,0.115783709024389,0.733653167224611,0.785238062452423
"ENSMUSG00000041684",-0.0385304986176735,4.7028916634551,0.115751513086826,0.733688794203006,0.785238062452423
"ENSMUSG00000054999",0.116026692262933,0.155247248964689,0.115676515363515,0.733771805689888,0.785264563983916
"ENSMUSG00000042608",-0.0404107667938907,5.49873376544847,0.115262729107254,0.734230347069782,0.785692912275578
"ENSMUSG00000019471",-0.0390703621001611,7.92130037166184,0.114822072581092,0.734719675421279,0.78615413480072
"ENSMUSG00000021377",0.049656862555645,6.41023399028908,0.114599919035214,0.734966763429878,0.786356106174459
"ENSMUSG00000066568",0.0407620249224089,6.95895854826728,0.114494205454331,0.735084436018175,0.786419592251489
"ENSMUSG00000034163",-0.0381968943556485,7.24295244868904,0.113691037371026,0.735980447463263,0.787315696893529
"ENSMUSG00000022462",-0.0306354607661605,8.4951146005098,0.113535195558512,0.736154712022742,0.787414884146722
"ENSMUSG00000033356",-0.0545450685631278,3.02813487619827,0.113503665226486,0.736189985890163,0.787414884146722
"ENSMUSG00000068874",0.0851154521401977,1.00884290761448,0.113058721108395,0.736688340128364,0.787885403670803
"ENSMUSG00000022855",0.0376815893306235,6.23223453387942,0.112768502372788,0.737013984502301,0.788171150648542
"ENSMUSG00000078580",0.05871841055865,2.60081414500476,0.112062133702244,0.737808529778508,0.788958260485767
"ENSMUSG00000034867",-0.0338680948171267,5.93405323786106,0.112001127000483,0.737877282505531,0.78896919776785
"ENSMUSG00000050222",-0.07327617272666,1.98165311786798,0.11185440227294,0.738042722185866,0.789083506843339
"ENSMUSG00000057863",0.0559530086249561,6.73044731946193,0.111638555181685,0.738286320320295,0.789281354816645
"ENSMUSG00000038844",0.0349381006724264,5.43953725720849,0.111433214707551,0.738518304119992,0.78946675583551
"ENSMUSG00000073468",0.0380840708179432,4.19550360749252,0.111310657213352,0.738656876910693,0.789552280180229
"ENSMUSG00000030774",-0.0307302156356065,6.07455047887465,0.110958457899672,0.7390555726487,0.789915815022368
"ENSMUSG00000026895",-0.0533450590725524,5.79241686712784,0.110049534206169,0.740087748871633,0.790956313821031
"ENSMUSG00000066551",0.0342368516378636,4.83612068765827,0.109470756327214,0.740747478436694,0.791598633119705
"ENSMUSG00000027611",-0.0414053168334788,4.5718539859358,0.109129772650253,0.741137060488338,0.791952180758029
"ENSMUSG00000032040",0.0375416871829186,4.43626282855873,0.109048601803083,0.741229899580187,0.791988608721606
"ENSMUSG00000044147",-0.0357503305327309,6.80796656581304,0.108683443534403,0.741648023713327,0.792372563613835
"ENSMUSG00000058546",0.130724461689739,-0.325883965878477,0.108579432388124,0.741767264046448,0.792400975619078
"ENSMUSG00000032228",-0.0331360578478437,7.86848023680065,0.108520448963652,0.741834911887069,0.792400975619078
"ENSMUSG00000032050",0.0335734226120288,7.57054157854786,0.108506463993365,0.741850954179095,0.792400975619078
"ENSMUSG00000027883",0.0301697380358387,6.00911284585872,0.10828900071338,0.742100555966941,0.792604784898616
"ENSMUSG00000039844",0.0370184090151629,7.29989638050384,0.107889509846643,0.742559811687055,0.792950686213659
"ENSMUSG00000038351",0.0391857419814423,5.48718983958996,0.107852967798678,0.742601867513888,0.792950686213659
"ENSMUSG00000020167",-0.0511681072160562,6.81430034687006,0.107810708573865,0.7426505130175,0.792950686213659
"ENSMUSG00000047205",0.036687195718944,5.00278850607227,0.10780273202903,0.742659696174888,0.792950686213659
"ENSMUSG00000029186",-0.0454050057605393,5.4873985629864,0.107670637181291,0.742811827777095,0.793050308882792
"ENSMUSG00000021375",0.0299821005147082,6.22368393094746,0.107461251127991,0.743053186404495,0.793245169933402
"ENSMUSG00000027086",-0.0476287933246828,3.69415882687731,0.10735226002766,0.743178923156687,0.793316577961461
"ENSMUSG00000029772",-0.0321820186680664,5.41042044173808,0.106895904428237,0.743706163286517,0.793816531058237
"ENSMUSG00000071266",-0.058746099426114,3.63514439645807,0.106499021115432,0.744165707181657,0.794244153156197
"ENSMUSG00000015083",-0.104444879843335,0.975039981419634,0.106443878439046,0.744229630799337,0.794249497530547
"ENSMUSG00000089687",0.126778085140441,-0.0275761124704619,0.106057568126898,0.744677971907555,0.794665062873881
"ENSMUSG00000020801",0.0481832873367682,3.10999174334399,0.105988408953023,0.744758331411748,0.79468791085656
"ENSMUSG00000028467",-0.0401592281649906,3.79055438933681,0.10583946116461,0.744931499827239,0.794809778327742
"ENSMUSG00000059586",-0.0389925978169858,4.83781513573328,0.105698769124682,0.745095193808386,0.794921518497218
"ENSMUSG00000038069",0.0457423283088296,4.03434567049787,0.105530982222948,0.745290569996637,0.795067039180554
"ENSMUSG00000049097",-0.0737931585806839,1.93112442529512,0.105129477523225,0.745758792438952,0.795503582914189
"ENSMUSG00000020171",-0.0356553965684621,4.8445006358974,0.104860714191551,0.746072768310633,0.795736964494014
"ENSMUSG00000031813",0.0461326572760932,5.1944933494962,0.104841156691791,0.746095633202606,0.795736964494014
"ENSMUSG00000024826",-0.0360498799213166,6.15338749918016,0.104445503928559,0.746558702183568,0.796167855718431
"ENSMUSG00000039410",-0.0605372258100631,3.76711295274963,0.103821732971127,0.747290730584429,0.796770080893144
"ENSMUSG00000070808",0.0525993425276024,5.00695240546542,0.103815495314086,0.747298063049779,0.796770080893144
"ENSMUSG00000056770",-0.0311752916682744,6.49113279456461,0.103813241654809,0.747300712322002,0.796770080893144
"ENSMUSG00000020238",-0.0492879000954645,6.88520153055033,0.103684885330779,0.747451653051136,0.796867990097459
"ENSMUSG00000026941",0.0868377827245081,0.960461591622875,0.10350338192682,0.747665268236905,0.797032696591943
"ENSMUSG00000049285",0.0831740974672329,0.889093640308702,0.10336987138617,0.74782253157588,0.797137309098951
"ENSMUSG00000030116",-0.0416984421966047,4.13657179020085,0.103117464951069,0.748120149980976,0.797372227754851
"ENSMUSG00000117942",-0.12040336695147,0.387496867729518,0.103082666864436,0.748161212734301,0.797372227754851
"ENSMUSG00000036932",0.0332086534280414,5.93605427204294,0.102986210490094,0.74827507404089,0.797430535426501
"ENSMUSG00000074406",-0.0751088853261259,3.90644217659624,0.102410975161455,0.74895533118352,0.798092389509527
"ENSMUSG00000048490",-0.0338808031834536,5.52439295517816,0.102247533276824,0.749148997032792,0.798235664637928
"ENSMUSG00000007850",-0.0335684123784715,8.40390905685459,0.1019804726144,0.749465810520539,0.798510123419535
"ENSMUSG00000038914",0.0330772873622499,6.60095875752043,0.101527451744595,0.750004275306406,0.798977955269004
"ENSMUSG00000023951",0.0303583450261619,6.93370530381095,0.101511346763381,0.750023442172631,0.798977955269004
"ENSMUSG00000051817",0.0507070218791312,4.20187290690797,0.100966347038764,0.75067304729168,0.799606775485078
"ENSMUSG00000010095",-0.038877645344844,7.41556217088659,0.100719733795017,0.750967629012442,0.799857360094551
"ENSMUSG00000047669",-0.0660855788872979,2.58584745922715,0.100339124200047,0.751423050702319,0.800279202600566
"ENSMUSG00000009876",0.104296298333665,0.122569030777628,0.100134449177938,0.751668349411418,0.800477211344919
"ENSMUSG00000046329",0.0449691909852135,3.86145302719499,0.0996847955527498,0.752208220041229,0.800988863694772
"ENSMUSG00000030199",-0.0312910729251269,5.60489771075907,0.0995559375964694,0.752363178387773,0.801090593779762
"ENSMUSG00000001383",-0.0330321911529894,6.2141890987684,0.0994543551856921,0.752485414226515,0.80115746874014
